Date,filtered,smoothed
3/31/1961,6.01053051,4.586503684
6/30/1961,6.816480062,4.573057247
9/30/1961,6.293789451,4.55495923
12/31/1961,6.239697274,4.535677155
3/31/1962,5.874803808,4.517680494
6/30/1962,5.174352172,4.50617491
9/30/1962,4.727117162,4.504174098
12/31/1962,4.168681328,4.511802469
3/31/1963,4.155729337,4.525876348
6/30/1963,4.214192415,4.541312408
9/30/1963,4.509116562,4.556208695
12/31/1963,4.260971549,4.572392549
3/31/1964,4.631344766,4.589154404
6/30/1964,4.577762689,4.604609478
9/30/1964,4.627778765,4.622291851
12/31/1964,4.383328405,4.641603655
3/31/1965,4.833919747,4.656411984
6/30/1965,4.861510552,4.661697409
9/30/1965,5.085918684,4.658779527
12/31/1965,5.356540454,4.643874791
3/31/1966,5.653220703,4.619133063
6/30/1966,5.485522602,4.593557785
9/30/1966,5.479042113,4.571976063
12/31/1966,5.524577637,4.550028462
3/31/1967,5.450713674,4.526753746
6/30/1967,5.30694526,4.503999041
9/30/1967,5.413526742,4.480580756
12/31/1967,5.467875106,4.451989315
3/31/1968,5.772437617,4.414827209
6/30/1968,5.929757157,4.368756977
9/30/1968,5.8634149,4.320644696
12/31/1968,5.796304168,4.273423282
3/31/1969,5.919355773,4.223862508
6/30/1969,5.8305892,4.173810021
9/30/1969,5.782960398,4.128519821
12/31/1969,5.538397991,4.089756159
3/31/1970,5.371872053,4.058420671
6/30/1970,5.323635555,4.030217422
9/30/1970,5.333996218,4.00281226
12/31/1970,5.152967038,3.979275545
3/31/1971,5.489294029,3.954611979
6/30/1971,5.317572254,3.926015536
9/30/1971,5.085231162,3.903457047
12/31/1971,4.622084881,3.883945864
3/31/1972,4.798620817,3.860375034
6/30/1972,4.748973677,3.82589476
9/30/1972,4.610142941,3.784609494
12/31/1972,4.545332191,3.737230816
3/31/1973,4.666218319,3.678553517
6/30/1973,4.885977874,3.614275443
9/30/1973,4.702440389,3.555172334
12/31/1973,4.817359853,3.500544152
3/31/1974,4.789201763,3.450161093
6/30/1974,5.161962323,3.408397937
9/30/1974,5.353406559,3.3767677
12/31/1974,5.194780249,3.359035506
3/31/1975,4.614803121,3.353278375
6/30/1975,4.208430422,3.352714747
9/30/1975,4.193857645,3.347258824
12/31/1975,4.225314448,3.337555178
3/31/1976,4.245804476,3.325129592
6/30/1976,3.769192112,3.314628813
9/30/1976,3.765850368,3.312210073
12/31/1976,3.749566193,3.314751547
3/31/1977,3.80842081,3.317548463
6/30/1977,3.811934029,3.316710634
9/30/1977,3.948413837,3.31319355
12/31/1977,3.599552851,3.313856598
3/31/1978,3.506018937,3.317076823
6/30/1978,4.052155336,3.307341484
9/30/1978,3.999873276,3.285964058
12/31/1978,4.110027509,3.265799196
3/31/1979,3.522940955,3.247885141
6/30/1979,4.045779302,3.234228818
9/30/1979,3.951606098,3.221454544
12/31/1979,3.991696546,3.210049164
3/31/1980,4.314528207,3.204169003
6/30/1980,3.910414558,3.209047641
9/30/1980,3.90940279,3.219752317
12/31/1980,4.4198931,3.219995896
3/31/1981,4.55633628,3.20863972
6/30/1981,4.038201473,3.198165611
9/30/1981,4.117248134,3.192674901
12/31/1981,3.747230277,3.193251422
3/31/1982,3.151981157,3.207960496
6/30/1982,3.097152893,3.228320214
9/30/1982,3.285302933,3.249870098
12/31/1982,3.177087524,3.274460091
3/31/1983,3.286862009,3.295296771
6/30/1983,2.911977378,3.306774127
9/30/1983,3.583077656,3.309740798
12/31/1983,3.128775569,3.306780132
3/31/1984,3.278333719,3.298431196
6/30/1984,3.504790607,3.28691768
9/30/1984,3.321375999,3.275643944
12/31/1984,3.082345126,3.266082675
3/31/1985,3.825709971,3.256099489
6/30/1985,3.555563752,3.244152243
9/30/1985,3.776549614,3.229279706
12/31/1985,3.330991951,3.213138984
3/31/1986,3.503534786,3.198472785
6/30/1986,3.088195854,3.185089626
9/30/1986,3.067319504,3.172359738
12/31/1986,3.134804882,3.159797707
3/31/1987,2.831647686,3.147804875
6/30/1987,3.095053597,3.133411703
9/30/1987,3.118586874,3.115470562
12/31/1987,3.382718845,3.09316747
3/31/1988,3.270037975,3.068054526
6/30/1988,3.635722033,3.041782489
9/30/1988,3.704509204,3.013179805
12/31/1988,3.750933574,2.981842353
3/31/1989,3.758638929,2.94578424
6/30/1989,3.520746483,2.906821948
9/30/1989,3.264125373,2.865166491
12/31/1989,3.319537951,2.821585406
3/31/1990,3.661098561,2.775446374
6/30/1990,3.728067124,2.728572329
9/30/1990,3.652250516,2.687916691
12/31/1990,3.126342936,2.65749009
3/31/1991,2.813614515,2.635970679
6/30/1991,2.887290425,2.616090871
9/30/1991,3.077738606,2.59601719
12/31/1991,2.94161251,2.578215517
3/31/1992,2.931083189,2.560664085
6/30/1992,2.918059217,2.542664539
9/30/1992,2.666630287,2.527202779
12/31/1992,2.751658155,2.516676898
3/31/1993,2.643017655,2.514437306
6/30/1993,2.66025912,2.521094769
9/30/1993,2.396342959,2.533463952
12/31/1993,2.34784549,2.548405393
3/31/1994,2.207997204,2.56436586
6/30/1994,2.438965167,2.58262887
9/30/1994,2.230348015,2.604547833
12/31/1994,2.142873652,2.631031485
3/31/1995,2.032070945,2.662153048
6/30/1995,1.952855189,2.699046634
9/30/1995,1.884626526,2.737836044
12/31/1995,1.964851294,2.776412095
3/31/1996,1.874763917,2.814352169
6/30/1996,2.085551284,2.848123704
9/30/1996,2.102270991,2.877926788
12/31/1996,2.293107658,2.907149669
3/31/1997,2.134229386,2.934926913
6/30/1997,2.410721029,2.959050924
9/30/1997,2.220323118,2.978192378
12/31/1997,2.213282923,2.995137296
3/31/1998,2.234172846,3.009596058
6/30/1998,2.354014771,3.019074996
9/30/1998,2.608125963,3.021493093
12/31/1998,2.762328475,3.015243992
3/31/1999,2.787691354,3.00303334
6/30/1999,2.808832311,2.986931636
9/30/1999,2.84253456,2.963586402
12/31/1999,3.090820878,2.930716166
3/31/2000,3.118348737,2.891825753
6/30/2000,3.058920766,2.84733404
9/30/2000,3.036431423,2.798223581
12/31/2000,3.074194995,2.750303389
3/31/2001,3.033011309,2.703453027
6/30/2001,3.013840267,2.657966677
9/30/2001,2.780141454,2.613716925
12/31/2001,2.995832344,2.571651516
3/31/2002,2.900912656,2.528185645
6/30/2002,3.141224151,2.484993832
9/30/2002,3.026898345,2.445737125
12/31/2002,2.695551922,2.411536217
3/31/2003,2.387897059,2.380284595
6/30/2003,2.381645451,2.346991953
9/30/2003,2.589657303,2.308356173
12/31/2003,2.546519459,2.26580443
3/31/2004,2.628510236,2.2243146
6/30/2004,2.659794515,2.184263988
9/30/2004,2.512963605,2.143076876
12/31/2004,2.433306967,2.099608358
3/31/2005,2.568886003,2.053301453
6/30/2005,2.413194905,2.004627801
9/30/2005,2.234822381,1.953212895
12/31/2005,2.32431538,1.897133949
3/31/2006,2.318376541,1.835130147
6/30/2006,2.41881359,1.768302323
9/30/2006,2.177643016,1.699314269
12/31/2006,2.050577862,1.624737017
3/31/2007,2.282019906,1.543527622
6/30/2007,1.961402133,1.45549684
9/30/2007,2.017124291,1.359263278
12/31/2007,2.146166716,1.259117115
3/31/2008,1.799929214,1.160659042
6/30/2008,1.601428713,1.065177366
9/30/2008,1.231603188,0.976071263
12/31/2008,0.385809461,0.904532797
3/31/2009,0.238548667,0.85014713
6/30/2009,0.706591359,0.802329953
9/30/2009,0.489127662,0.754834941
12/31/2009,0.739301084,0.705928135
3/31/2010,0.387241666,0.656798544
6/30/2010,0.314372671,0.608615612
9/30/2010,0.232386173,0.561343723
12/31/2010,0.06170039,0.517716596
3/31/2011,-0.124994681,0.480476466
6/30/2011,0.168684929,0.447826163
9/30/2011,0.083260922,0.415968131
12/31/2011,0.133828033,0.384171673
3/31/2012,0.289184359,0.352134066
6/30/2012,0.14271496,0.323911929
9/30/2012,-0.129404393,0.301298431
12/31/2012,-0.155893037,0.284404019
3/31/2013,-0.167395077,0.270236415
6/30/2013,-0.39404107,0.25754764
9/30/2013,-0.278046657,0.246000419
12/31/2013,-0.129085097,0.233746792
3/31/2014,-0.3706095,0.223851943
6/30/2014,-0.131140328,0.21422978
9/30/2014,-0.080739952,0.199670671
12/31/2014,-0.26863096,0.183991602
3/31/2015,-0.305247363,0.169228881
6/30/2015,-0.024940191,0.154967794
9/30/2015,-0.008525095,0.143441259
12/31/2015,-0.090109682,0.136445118
3/31/2016,0.183629075,0.133728507
6/30/2016,0.275265806,0.132796763
9/30/2016,0.309189647,0.131989308
12/31/2016,0.091666243,0.132381911
3/31/2017,0.090148601,0.134789695
6/30/2017,-0.225806048,0.137119476
9/30/2017,-0.147356305,0.137592184
12/31/2017,0.040568637,0.137102113
3/31/2018,0.136724706,0.136724706
